"Id","IsDeleted","Name","CurrencyIsoCode","SBQQ__Rule__c","SBQQ__FilterType__c","SBQQ__FilterValue__c","SBQQ__FilterVariable__c","SBQQ__Index__c","SBQQ__Operator__c","SBQQ__TestedField__c","SBQQ__TestedObject__c","SBQQ__TestedVariable__c","SBQQ__ParentRuleIsActive__c","SBQQ__RuleTargetsQuote__c","SBQQ__TestedAttribute__c"
"a0E1N00000G39tqUAB","false","000102","USD","a0c1N00000MVcZSQA1","Value","0",,,"greater than",,,"a0s1N000006gdXmQAI","true","false",
"a0E1N00000G39trUAB","false","000103","USD","a0c1N00000MVcZSQA1","Value","6",,,"greater than",,,"a0s1N000006gdXnQAI","true","false",
"a0E1N00000G39tsUAB","false","000104","USD","a0c1N00000MVcZTQA1","Value","0",,,"greater than",,,"a0s1N000006gdXoQAI","true","false",
"a0E1N00000G39ttUAB","false","000105","USD","a0c1N00000MVcZTQA1","Value","8",,,"greater than",,,"a0s1N000006gdXnQAI","true","false",
"a0E1N00000G39tuUAB","false","000106","USD","a0c1N00000MVcZUQA1","Value","0",,,"equals",,,"a0s1N000006gdXoQAI","true","false",
"a0E1N00000G39tvUAB","false","000107","USD","a0c1N00000MVcZUQA1","Value","0",,,"equals",,,"a0s1N000006gdXmQAI","true","false",
"a0E1N00000G39twUAB","false","000108","USD","a0c1N00000MVcZUQA1","Value","10",,,"greater than",,,"a0s1N000006gdXnQAI","true","false",
"a0E1N00000G39txUAB","false","000109","USD","a0c1N00000MVcZVQA1","Value","0",,,"greater than",,,"a0s1N000006gdXmQAI","true","false",
"a0E1N00000G39tyUAB","false","000110","USD","a0c1N00000MVcZVQA1","Value","6",,,"less than",,,"a0s1N000006gdXnQAI","true","false",
"a0E1N00000G39tzUAB","false","000111","USD","a0c1N00000MVcZWQA1","Value","0",,,"greater than",,,"a0s1N000006gdXoQAI","true","false",
"a0E1N00000G39u0UAB","false","000112","USD","a0c1N00000MVcZWQA1","Value","8",,,"less than",,,"a0s1N000006gdXnQAI","true","false",
"a0E1N00000G39u1UAB","false","000113","USD","a0c1N00000MVcZXQA1","Value","0",,,"equals",,,"a0s1N000006gdXoQAI","true","false",
"a0E1N00000G39u2UAB","false","000114","USD","a0c1N00000MVcZXQA1","Value","0",,,"equals",,,"a0s1N000006gdXmQAI","true","false",
"a0E1N00000G39u3UAB","false","000115","USD","a0c1N00000MVcZXQA1","Value","10",,,"less than",,,"a0s1N000006gdXnQAI","true","false",
"a0E1N00000G39u4UAB","false","000116","USD","a0c1N00000MVcZYQA1","Value","0",,,"greater than",,,"a0s1N000006gdXpQAI","true","false",
"a0E1N00000G39u5UAB","false","000117","USD","a0c1N00000MVcZZQA1","Value","0",,,"equals",,,"a0s1N000006gdXpQAI","true","false",
"a0E1N00000G39u6UAB","false","000118","USD","a0c1N00000MVcZaQAL","Value","0",,,"equals",,,"a0s1N000006gdXqQAI","true","false",
"a0E1N00000G39u7UAB","false","000119","USD","a0c1N00000MVcZbQAL","Value","0",,,"greater than",,,"a0s1N000006gdXqQAI","true","false",
"a0E1N00000G39u8UAB","false","000120","USD","a0c1N00000MVcZcQAL","Value","0",,,"greater than",,,"a0s1N000006gdXrQAI","true","false",
"a0E1N00000G39u9UAB","false","000121","USD","a0c1N00000MVcZdQAL","Value","0",,,"equals",,,"a0s1N000006gdXrQAI","true","false",
"a0E1N00000G39uAUAR","false","000122","USD","a0c1N00000MVcZeQAL","Value","Security",,,"equals","Configuration__c","Product Option",,"true","false",
"a0E1N00000G39uDUAR","false","000123","USD","a0c1N00000MVcZnQAL","Value","0",,,"greater than",,,"a0s1N000006gdXuQAI","true","false",
"a0E1N00000G39uEUAR","false","000124","USD","a0c1N00000MVcZoQAL","Value","0",,,"equals",,,"a0s1N000006gdXuQAI","true","false",
"a0E1N00000G39uFUAR","false","000125","USD","a0c1N00000MVcZqQAL","Value","0",,,"greater than",,"Product Option","a0s1N000006gdXvQAI","true","false",
"a0E1N00000G39uGUAR","false","000126","USD","a0c1N00000MVcZqQAL","Value","0",,,"equals",,"Product Option","a0s1N000006gdXwQAI","true","false",
"a0E1N00000G39uHUAR","false","000127","USD","a0c1N00000MVcZpQAL","Value","0",,,"equals",,"Product Option","a0s1N000006gdXxQAI","true","false",
"a0E1N00000G39uIUAR","false","000128","USD","a0c1N00000MVcZrQAL","Value","Asset Based",,,"equals","Account_Renewal_Model__c","Quote",,"true","false",
"a0E1N00000G39uKUAR","false","000129","USD","a0c1N00000MVcZgQAL","Value","0",,,"equals",,,"a0s1N000006gdXzQAI","true","false",
"a0E1N00000G39uLUAR","false","000130","USD","a0c1N00000MVcZgQAL","Value","0",,,"greater than",,,"a0s1N000006gdXwQAI","true","false",
"a0E1N00000G39uMUAR","false","000131","USD","a0c1N00000MVcZhQAL","Value","Security",,,"equals","Configuration__c","Configuration Attributes",,"true","false",
"a0E1N00000G39uNUAR","false","000132","USD","a0c1N00000MVcZiQAL","Value","Performance",,,"equals","Configuration__c","Configuration Attributes",,"true","false",
"a0E1N00000G39uOUAR","false","000133","USD","a0c1N00000MVcZkQAL","Value","Value",,,"equals","Configuration__c","Configuration Attributes",,"true","false",
"a0E1N00000G39uPUAR","false","000134","USD","a0c1N00000MVcZjQAL","Value","Performance Optimized",,,"equals","Memory_Config__c","Configuration Attributes",,"true","false",
"a0E1N00000G39uQUAR","false","000135","USD","a0c1N00000MVcZlQAL","Value","Performance Optimized with Sparing",,,"equals","Memory_Config__c","Configuration Attributes",,"true","false",
"a0E1N00000G39uRUAR","false","000136","USD","a0c1N00000MVcZmQAL","Value","Memory Mirroring",,,"equals","Memory_Config__c","Configuration Attributes",,"true","false",
"a0E1N00000G39uSUAR","false","000137","USD","a0c1N00000MVcZsQAL","Value","Hosted",,,"equals","Deployment__c","Configuration Attributes",,"true","false",
"a0E1N00000G39uTUAR","false","000138","USD","a0c1N00000MVcZtQAL","Value","On-Premise",,,"equals","Deployment__c","Configuration Attributes",,"true","false",
"a0E1N00000G39uUUAR","false","000139","USD","a0c1N00000MVcZvQAL","Value","0",,,"greater than",,,"a0s1N000006gdY0QAI","true","false",
"a0E1N00000G39uVUAR","false","000140","USD","a0c1N00000MVcZuQAL","Value","0",,,"equals",,,"a0s1N000006gdY0QAI","true","false",
"a0Eg0000005NloyEAC","false","000141","USD","a0cg0000004s3kxAAA","Variable","123","a0s1N000006gdXxQAI",,"equals",,"Product Option","a0s1N000006gdXxQAI","true","false",
